id,catalog.shortName,,,mass_1_source,mass_2_source,network_matched_filter_snr,luminosity_distance,chi_eff,total_mass_source,chirp_mass_source,chirp_mass,redshift,far,p_astro,final_mass_source
GW150914-v3,GWTC,1,confident,35.6,30.6,24.4,440,-0.01,,28.6,,0.09,1.00E-07,1,63.1
GW151012-v3,GWTC,1,confident,23.2,13.6,10,1080,0.05,,15.2,,0.21,0.00792,1,35.6
GW151226-v2,GWTC,1,confident,13.7,7.7,13.1,450,0.18,,8.9,,0.09,1.00E-07,1,20.5
GW170104-v2,GWTC,1,confident,30.8,20,13,990,-0.04,,21.4,,0.2,1.00E-07,1,48.9
GW170608-v3,GWTC,1,confident,11,7.6,14.9,320,0.03,,7.9,,0.07,1.00E-07,1,17.8
GW170729-v1,GWTC,1,confident,50.2,34,10.2,2840,0.37,,35.4,,0.49,0.02,0.94,79.5
GW170809-v1,GWTC,1,confident,35,23.8,12.4,1030,0.08,,24.9,,0.2,1.00E-07,1,56.3
GW170814-v3,GWTC,1,confident,30.6,25.2,15.9,600,0.07,,24.1,,0.12,1.00E-07,1,53.2
GW170817-v3,GWTC,1,confident,1.46,1.27,33,40,0,,1.186,,0.01,1.00E-07,1,2.8
GW170818-v1,GWTC,1,confident,35.4,26.7,11.3,1060,-0.09,,26.5,,0.21,4.20E-05,1,59.4
GW170823-v1,GWTC,1,confident,39.5,29,11.5,1940,0.09,,29.2,,0.35,1.00E-07,1,65.4
GW190403_051519-v1,GWTC,2.1,confident,88,22.1,7.9557,8000,0.7,110.5,36.3,,1.14,7.7,0.60924,105.2
GW190426_190642-v1,GWTC,2.1,confident,106.9,76.6,9.572,4350,0.19,184.4,77.1,,0.7,4.1,0.75053,175
GW190725_174728-v1,GWTC,2.1,confident,11.5,6.4,9.074,1050,-0.04,18.2,7.4,,0.21,0.46,0.96021,17.4
GW190805_211137-v1,GWTC,2.1,confident,48.2,32,8.2505,5310,0.35,80.1,33.5,,0.82,0.63,0.95372,75.8
GW190916_200658-v1,GWTC,2.1,confident,44.3,23.9,8.208,4460,0.18,68.9,27.3,,0.71,6900,0.65727,65.7
GW190917_114630-v1,GWTC,2.1,confident,9.3,2.1,9.4556,720,-0.11,11.4,3.7,,0.15,0.66,0.76643,11.2
GW190925_232845-v1,GWTC,2.1,confident,21.2,15.6,9.8838,930,0.11,37,15.8,,0.19,0.0072,0.98849,35.2
GW190926_050336-v1,GWTC,2.1,confident,39.8,23.2,9.0049,3780,-0.04,62.9,25.6,,0.62,1.1,0.54334,60.5
GW191103_012549-v1,GWTC,3,confident,11.8,7.9,8.9,990,0.21,20,8.34,,0.2,0.46,0.94318,19
GW191105_143521-v1,GWTC,3,confident,10.7,7.7,9.7,1150,-0.02,18.5,7.82,,0.23,0.012,0.99,17.6
GW191109_010717-v1,GWTC,3,confident,65,47,17.3,1290,-0.29,112,47.5,,0.25,0.00018,0.99,107
GW191113_071753-v1,GWTC,3,confident,29,5.9,7.9,1370,0,34.5,10.7,,0.26,26,0.68339,34
GW191126_115259-v1,GWTC,3,confident,12.1,8.3,8.3,1620,0.21,20.7,8.65,,0.3,3.2,0.70041,19.6
GW191127_050227-v1,GWTC,3,confident,53,24,9.2,3400,0.18,80,29.9,,0.57,0.25,0.48622,76
GW191129_134029-v1,GWTC,3,confident,10.7,6.7,13.1,790,0.06,17.5,7.31,,0.16,1.00E-05,0.99,16.8
GW191204_110529-v1,GWTC,3,confident,27.3,19.3,8.8,1800,0.05,47.2,19.8,,0.34,3.3,0.74239,45
GW191204_171526-v1,GWTC,3,confident,11.9,8.2,17.5,650,0.16,20.21,8.55,,0.13,1.00E-05,0.99,19.21
GW191215_223052-v1,GWTC,3,confident,24.9,18.1,11.2,1930,-0.04,43.3,18.4,,0.35,1.00E-05,0.99,41.4
GW191216_213338-v1,GWTC,3,confident,12.1,7.7,18.6,340,0.11,19.81,8.33,,0.07,1.00E-05,0.99,18.87
GW191219_163120-v1,GWTC,3,confident,31.1,1.17,9.1,550,0,32.3,4.32,,0.11,4,0.8224,32.2
GW191222_033537-v1,GWTC,3,confident,45.1,34.7,12.5,3000,-0.04,79,33.8,,0.51,1.00E-05,0.99,75.5
GW191230_180458-v1,GWTC,3,confident,49.4,37,10.4,4300,-0.05,86,36.5,,0.69,0.05,0.9462,82
GW200112_155838-v1,GWTC,3,confident,35.6,28.3,19.8,1250,0.06,63.9,27.4,,0.24,1.00E-05,0.99,60.8
GW200115_042309-v2,GWTC,3,confident,5.9,1.44,11.3,290,-0.15,7.4,2.43,,0.06,1.00E-05,0.99,7.2
GW200128_022011-v1,GWTC,3,confident,42.2,32.6,10.6,3400,0.12,75,32,,0.56,0.0043,0.99,71
GW200129_065458-v1,GWTC,3,confident,34.5,28.9,26.8,900,0.11,63.4,27.2,,0.18,1.00E-05,0.99,60.3
GW200202_154313-v1,GWTC,3,confident,10.1,7.3,10.8,410,0.04,17.58,7.49,,0.09,1.00E-05,0.99,16.76
GW200208_130117-v1,GWTC,3,confident,37.8,27.4,10.8,2230,-0.07,65.4,27.7,,0.4,0.00031,0.99,62.5
GW200208_222617-v1,GWTC,3,confident,51,12.3,7.4,4100,0.45,63,19.6,,0.66,4.8,0.70006,61
GW200209_085452-v1,GWTC,3,confident,35.6,27.1,9.6,3400,-0.12,62.6,26.7,,0.57,0.046,0.95396,59.9
GW200210_092254-v1,GWTC,3,confident,24.1,2.83,8.4,940,0.02,27,6.56,,0.19,1.2,0.42219,26.7
GW200216_220804-v1,GWTC,3,confident,51,30,8.1,3800,0.1,81,32.9,,0.63,0.35,0.77277,78
GW200219_094415-v1,GWTC,3,confident,37.5,27.9,10.7,3400,-0.08,65,27.6,,0.57,0.00099,0.99,62.2
GW200220_061928-v1,GWTC,3,confident,87,61,7.2,6000,0.06,148,62,,0.9,6.8,0.62376,141
GW200220_124850-v1,GWTC,3,confident,38.9,27.9,8.5,4000,-0.07,67,28.2,,0.66,30,0.20309,64
GW200224_222234-v1,GWTC,3,confident,40,32.5,20,1710,0.1,72.2,31.1,,0.32,1.00E-05,0.99,68.6
GW200225_060421-v1,GWTC,3,confident,19.3,14,12.5,1150,-0.12,33.5,14.2,,0.22,1.10E-05,0.99,32.1
GW200302_015811-v1,GWTC,3,confident,37.8,20,10.8,1480,0.01,57.8,23.4,,0.28,0.11,0.90643,55.5
GW200306_093714-v1,GWTC,3,confident,28.3,14.8,7.8,2100,0.32,43.9,17.5,,0.38,24,0.24004,41.7
GW200308_173609-v1,GWTC,3,confident,36.4,13.8,7.1,5400,0.65,50.6,19,,0.83,2.4,0.8566,47.4
GW200311_115853-v1,GWTC,3,confident,34.2,27.7,17.8,1170,-0.02,61.9,26.6,,0.23,1.00E-05,0.99,59
GW200316_215756-v1,GWTC,3,confident,13.1,7.8,10.3,1120,0.13,21.2,8.75,,0.22,1.00E-05,0.99,20.2
GW200322_091133-v1,GWTC,3,confident,34,14,6,3600,0.24,55,15.5,,0.6,140,0.077572,53